53.1345902 23.1605134
53.1322987 23.15872989999999 4.7
53.1353839 23.13362 4.8
53.13671429999999 23.1535206 4.7
53.1457794 23.1709331 4.4
53.1540389 23.1632405 4
53.1602797 23.1810287 4.4
53.15263849999999 23.1974452 3.7
53.15043499999999 23.1960584 4
53.13330549999999 23.1881715 5
53.1313594 23.1955987 3.2
53.1251067 23.1928272 5
53.12478 23.227903 5
53.1095643 23.2189259 4.4
53.10898299999999 23.21322009999999 4
53.1170142 23.1895569 5
53.1021112 23.1713918 3.7
53.09835440000001 23.1254569 4.5
53.034155 23.092478 4.4
53.1420702 22.98878719999999 4
53.1523152 22.9794998 4.9
53.15248399999999 22.842636 5
53.0727784 22.868606 4.7
53.0249087 23.0202458 1
53.003569 22.9223709 5
52.9933901 22.8873063 2.8
52.99017139999999 22.8717166 4.4
52.9819284 22.88777009999999 5
52.9522883 22.9602577 5
52.9488621 22.9536537 4
52.89737029999999 22.8681278 3.5
52.7580112 23.1786458 5
52.89123499999999 23.327864 5
52.9084232 23.5334766 2
52.9390234 23.6061965 5
53.0216382 23.6223798 5
53.0325932 23.6081684 4
53.143243 23.473277 5
53.20705340000001 23.3376376 5
53.2108698 23.3381528 3.5
53.2110634 23.3380096 4.7
53.203865 23.206231 5
53.184487 23.150274 3.7
53.1761987 23.1486369 4.2
53.1731603 23.1355926 4.7
53.1475067 23.1133428 4.3
53.1404624 23.1209176 4.4
53.1416477 23.1048297 3.4
53.12767090000001 23.0846282 3.1
53.12558989999999 23.10157659999999 4.1
53.1058921 23.14908459999999 4.7
53.11539579999999 23.1642199 4
53.1186985 23.1516313 4
53.11828879999999 23.1497203 4.5
53.1241253 23.1516957 4.6
53.1213624 23.1652904 4.4
53.1247996 23.166982 4.2
53.1279257 23.1586545 4.1
53.13060489999999 23.165139 4.7
53.132138 23.166502 4.2
53.1345902 23.1605134
53.1345902 23.1605134
53.13806870000001 23.1660287 2
53.20697499999999 22.767914 3.4
53.2050697 22.7670377 4
53.203989 22.710671 4.4
53.2871829 22.6106343 5
53.3321031 22.5995636 5
53.36901 22.592782 4
53.317229 22.463597 5
53.366765 22.3058642 3.7
53.2467617 22.1200438 4.7
53.1714498 22.0100794 2.7
53.160525 22.049945 4.6
53.153758 22.0599461 5
53.1666834 22.0705378 4.6
53.1703185 22.0647392 4.5
53.17668260000001 22.0693646 5
53.17766599999999 22.0811366 4.5
53.179999 22.0887223 4.3
53.17668510000001 22.0895002 5
53.142883 22.127741 4
53.1521992 22.1706494 4.6
53.1407533 22.168843 4.8
52.82764299999999 21.880955 5
52.8057398 21.898186 4.8
53.1345902 23.1605134
53.1345902 23.1605134
53.5785729 23.1064647 4.7
53.668201 23.110245 5
53.6772963 23.1023812 5
53.6779849 23.1027405 5
53.86092410000001 23.1183665 5
53.8590983 23.0939591 4.8
53.87084280000001 23.0909353 3.3
53.9467711 23.0811092 4
54.07458 23.1055459 5
54.06998000000001 23.08443 4
54.0753374 23.0756504 4.7
54.0768421 23.0751515 4.8
54.0224156 23.0403732 4.8
53.96522880000001 23.0461059 4.3
53.87580620000001 22.9856409 4.7
53.862223 23.00172299999999 3.9
53.85750239999999 22.9679864 3.9
53.842789 22.9810623 4.3
53.843013 22.992198 4.2
53.839422 22.981778 5
53.839422 22.9817779 5
53.8242183 22.977914 3.7
53.824664 22.962078 4
53.58926 22.895018 4.4
53.5894175 22.8194423 4.5
53.5012383 22.6514268 4
53.48265749999999 22.6467705 4.2
53.48727520000001 22.7313375 2
53.4914713 22.73878 3.9
53.4912251 22.74041279999999 4
53.4865195 22.7354837 5
53.411722 22.7798339 4.6
53.4086833 22.7763138 5
53.410053 22.7897099 3
53.40445159999999 22.790988 5
53.40373799999999 22.806964 3
53.40715899999999 22.8086796 5
53.4057902 22.8094006 3
53.403961 22.8117205 4.5
53.1345902 23.1605134
