435.841 587.522
486.743 625.481 97
517.930 649.464 52
525.118 681.256 46
476.475 711.843 11
463.399 711.700 73
452.184 663.382 49
431.006 685.786 67
421.545 669.856 70
359.094 688.825 91
326.410 615.676 89
312.678 611.344 76
334.192 594.830 38
306.696 552.626 73
304.468 535.688 69
245.176 595.849 94
232.085 588.069 63
225.447 556.169 50
228.193 537.552 30
236.126 494.214 59
244.594 473.987 48
205.641 477.219 56
178.085 519.553 36
175.187 551.629 71
138.308 544.775 100
125.872 536.987 71
109.638 555.178 71
135.318 579.262 98
104.725 588.780 67
83.0742 601.487 7
82.5408 643.565 18
91.7265 661.356 92
140.141 704.084 96
49.9968 742.733 82
1.94865 712.335 92
25.5217 669.796 14
15.7710 614.642 58
55.2590 619.092 53
93.5555 531.101 62
132.524 507.626 21
117.937 480.467 79
92.7453 433.967 68
72.1925 423.799 69
25.7158 384.711 88
22.8315 355.085 74
6.42906 353.950 23
34.4571 282.052 42
52.5835 271.001 72
40.5600 259.589 41
21.8230 256.845 66
23.8826 240.295 41
6.59450 196.999 70
26.8873 163.883 23
6.13562 122.624 45
21.9732 102.510 74
20.0806 62.8968 99
49.6047 40.6059 63
85.7052 33.6732 51
109.477 27.3525 69
126.307 27.0835 47
127.116 42.9147 92
190.116 9.77048 64
197.287 1.98716 2
217.245 20.1127 93
231.984 10.1310 59
235.387 41.3129 93
267.979 69.0196 70
214.744 82.1886 80
256.231 126.549 46
226.997 149.199 48
257.178 178.950 89
273.595 173.028 41
272.482 202.425 99
260.672 213.383 75
258.125 251.372 56
274.222 258.428 77
291.053 292.049 86
316.686 311.822 64
368.488 322.474 35
377.688 314.408 49
370.272 274.581 13
382.173 228.740 83
360.033 175.038 93
399.475 192.268 63
417.205 194.188 49
438.962 136.901 53
382.491 96.1738 84
372.177 77.9249 38
420.178 34.4287 54
486.979 88.5907 77
509.211 164.053 83
547.387 204.852 87
476.331 253.181 22
460.829 255.503 78
429.870 229.253 19
424.972 239.973 95
445.404 306.860 32
491.148 328.614 73
475.220 422.920 27
462.037 417.062 83
344.656 388.185 91
327.353 384.372 52
314.339 438.079 100
332.771 466.520 68
381.612 457.549 75
385.534 487.846 19
374.105 494.356 70
416.783 521.535 3
444.217 553.301 38
435.841 587.522
435.841 587.522
417.302 581.199 15
406.271 601.839 43
236.206 683.440 15
247.619 698.637 89
237.167 707.298 35
271.361 736.904 4
267.929 788.352 3
257.615 814.539 55
298.827 796.840 90
349.224 799.328 51
344.937 837.515 94
384.806 812.568 90
415.460 823.742 65
430.779 816.476 25
439.629 819.344 4
451.636 797.971 61
456.946 809.262 52
477.087 834.773 81
483.206 814.332 78
505.772 795.094 84
509.984 834.341 87
541.690 818.375 42
602.539 801.704 56
618.453 808.454 76
607.208 778.844 73
592.712 764.167 59
616.789 748.507 33
603.560 723.736 34
609.907 714.945 88
659.297 693.415 97
653.011 671.869 10
669.764 662.314 13
648.783 603.790 81
642.573 589.530 89
691.414 576.653 94
678.108 546.502 80
693.672 555.594 62
709.830 561.077 8
748.357 537.031 36
763.859 558.636 40
806.139 537.748 91
827.455 580.479 72
828.340 584.111 22
884.474 559.131 90
868.559 484.797 51
908.764 483.318 57
920.634 460.336 35
946.100 432.995 66
963.235 442.629 37
961.419 413.034 90
959.404 382.332 45
923.029 410.170 40
913.249 428.902 81
881.955 436.361 12
852.354 420.312 44
814.209 436.493 45
811.997 466.210 94
795.061 496.701 49
746.616 491.772 44
724.782 471.166 100
730.640 446.995 33
700.979 439.308 38
725.650 402.263 37
760.500 411.841 44
747.866 360.265 84
740.572 359.870 68
732.088 320.501 97
801.207 327.664 79
850.689 321.301 85
890.360 307.257 28
988.743 256.460 77
995.853 234.577 26
967.473 235.618 77
972.905 220.419 100
931.464 198.146 60
974.766 171.802 56
967.716 166.523 99
917.898 105.225 72
904.883 126.216 92
882.698 149.994 78
868.707 180.065 31
826.839 234.883 58
817.106 281.120 27
776.794 291.288 28
764.190 227.841 75
752.455 173.084 27
769.072 182.917 9
775.205 181.054 28
789.060 180.381 55
800.350 158.589 95
792.919 136.517 44
779.110 99.0186 98
734.709 76.1660 68
746.320 56.0444 21
745.771 57.0821 26
701.018 43.4543 82
682.389 84.7105 14
672.670 141.516 8
680.574 156.194 53
628.285 197.058 51
620.154 281.819 54
550.990 317.710 29
560.389 331.015 62
555.492 359.315 14
557.170 378.511 60
569.788 359.946 43
606.972 355.066 98
615.258 416.034 66
626.521 526.724 85
599.164 587.500 80
599.164 619.972 11
583.448 609.201 76
560.439 622.937 21
435.841 587.522
